Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer
"In a group of 8, 000 applicants for a civil service examination, 1600 failed to take the first part of the test. What percent of the total applicants took the first part of the test?",20%,30%,40%,80%,none of these,80%
If twice the value of a certain number is increased by 8 the result is 40. What is the number?,8,16%,24%,32%,none of the above,16%
Cassy's father was 38 years of age when she was born while her mother was 36 years old when her brother four years younger to her was born. What is the difference between the ages of her parents?,2 years,4 years,6 years,8 years,none of these,6 years
"Number Series: 100%, 2, 15/5, 4, ____?",2,3,4,5,none of these,5
"Number Series: 1/6, 1/3, 1/2, 2/3, ____?",06-Feb,07-Feb,05-Mar,06-May,none of these,06-May
"Number Series: 250%, 50%, 100%, 20%, 40%, ____?",8%,10%,5%,15%,none of these ,8%
"Number Series: 0.1, 30%, 1/2, 0.7, 90%, ____?",1  1/10,100%,09-Jul,1.4,none of these ,1  1/10
"Number Series: 5, 6, 9, 15, ____, 40",21,27,25,33,none of these ,25
"Number Series: 5,16,49,104,____",170,148,115,181,none of these ,181
"Number Series: 225, 336, 447, ____, 669, 7710",114,991,558,338,none of these ,558
"Number Series: 563,647,479,815,____",672,386,279,143,none of these ,143
"Number Series: 3, 12, 27, 48,75, 108, ____",183,192,162,147,none of these ,147
"Number Series: 0.5, 0.55, 0.65, 0.8,____",0.82,0.9,0.95,1,none of these ,1
1/2 ?? 1/4 = ___, Less than 1,More than 1,Equal to 1,Undefined,None of the above,More than 1
"If Kardo is feeding his buddy 1/2 cup of dog food but uses 1/10 of a cup, how many scoop will he need to feed his dog?",1/12 th scoop,1/20 th scoop,5 scoops,3 scoops,none of these,5 scoops
"If 1 ?? 10 = 9, 2 ?? 10 = 18, 3 ?? 10 = 27, then what is 8 ?? 10 = ?",36,72,78,52,none of these,36
83 : 25 :: 92 : ___?,44,49,40,63,none of these,44
72 : 18 :: 56 : ___?,24,22,20,16,none of these,24
2 : 12 :: 8 : ___?,18,128,396,576,none of these,18
12 : 72 : : 8 : ___?,0,32,36,38,none of these,0
PEMDAS: 10??2??5?(12??3??4)+1 =__?,10,1,-1,23,None of the above,10
Sum of all odd numbers between 60 to 120.,3775,3050,4000,2700,none of these,2700
